epoch,train_loss,val_loss
1,1.5677952317296073,1.274423522795527
2,1.1356816402943801,0.8945065480152501
3,0.7869903356254204,0.607203332745344
4,0.521266737748849,0.3944987288827432
5,0.3263620973812628,0.24618244031741007
6,0.19712539832032971,0.13710557257525283
7,0.10932903181126291,0.07196110339751462
8,0.0562250559543075,0.03648902206192278
9,0.027233307364253043,0.01758602969591875
10,0.012569267496268943,0.007427841070497899
11,0.005192480185062887,0.0030584161546588755
12,0.002064392935933254,0.001147767773846313
13,0.0007588137379105856,0.0004089140085135648
14,0.00026624945087665245,0.00013994656594923757
15,9.233099652695562e-05,5.038926132248637e-05
16,3.5700249940596174e-05,2.1322479449130652e-05
17,1.780437828168889e-05,1.3339069797252038e-05
18,1.2782204736190074e-05,1.1313003230340808e-05
19,1.1519687464405814e-05,1.0791808968243578e-05
20,1.1211801708968258e-05,1.0690334204691264e-05
21,1.113974695756442e-05,1.0682061077401553e-05
22,1.1157427274599372e-05,1.068430210836773e-05
23,1.1134189363340728e-05,1.0685141066952395e-05
24,1.1126514165688754e-05,1.0686327106161106e-05
25,1.1129884808464904e-05,1.0688141355176411e-05
26,1.112547548376494e-05,1.0687630191718123e-05
27,1.1127217800304392e-05,1.068543338642854e-05
28,1.113010923963135e-05,1.0683414236754086e-05
29,1.113658702847106e-05,1.0692115060512142e-05
30,1.1137847692896948e-05,1.0683685239140401e-05
31,1.1135143068697993e-05,1.0687070288909505e-05
32,1.1136981584107678e-05,1.0683902387096127e-05
33,1.1132412393992468e-05,1.0688544589920206e-05
34,1.1143099116138563e-05,1.068434432085512e-05
35,1.1131954595162807e-05,1.0689294582433237e-05
36,1.1133496909079607e-05,1.0703148589785765e-05
37,1.1129446941211108e-05,1.0689729064877665e-05
38,1.1132987059325413e-05,1.0689272544815162e-05
39,1.1127596108197999e-05,1.068483646581824e-05
40,1.1134362630520942e-05,1.0683707279522202e-05
41,1.1130801463687358e-05,1.0685653078380795e-05
42,1.113311257162213e-05,1.0686130149373962e-05
43,1.112891685982411e-05,1.0686847432434392e-05
44,1.1135592884188883e-05,1.0681593464256982e-05
45,1.115200994563282e-05,1.0681647090204718e-05
46,1.1134343574163815e-05,1.0691437546061723e-05
47,1.11462980793609e-05,1.0702426514723064e-05
48,1.1146782324630278e-05,1.0691251494306808e-05
