epoch,train_loss,val_loss
1,0.21844288986176252,0.010774130187928676
2,0.004099861522263382,0.000826828379649669
3,0.0002665907707220564,8.609820361016318e-05
4,3.5373295213503296e-05,1.0639744050422451e-05
5,8.819378823924732e-06,3.407964459256618e-06
6,2.3941485551404183e-06,2.113782511514728e-06
7,1.0763783734546451e-06,2.708479382818041e-06
8,2.7658875363082795e-06,3.7252398669807006e-06
9,1.9018987690818298e-06,1.976616215415561e-06
10,7.704986780746973e-07,1.455783615256223e-06
11,6.058094214722587e-07,3.2303375974152004e-06
12,1.2871650066396493e-06,1.2663711288496415e-06
13,5.875061811858965e-07,1.051019751230342e-06
14,9.497756082055275e-07,2.0242303662598717e-06
15,9.486704897199161e-07,1.0426934977658675e-06
16,1.1808249610112397e-06,2.314515552370722e-06
17,9.297861410573205e-07,2.268578259645437e-06
18,5.280391633277759e-07,8.586708645452745e-07
19,8.568628757643637e-07,9.822045626606267e-07
20,3.682700087400311e-06,1.8553857785263972e-06
21,1.687458974212556e-06,3.230800734854711e-06
22,1.1919654634577152e-06,1.3472332966557588e-06
23,3.5955740097885305e-07,8.464114358730512e-07
24,5.919429488206636e-07,2.341165873076534e-06
25,1.4796820304733652e-06,1.5509021864090756e-06
26,8.659893182993982e-07,1.1252050967414106e-06
27,5.060448008483339e-07,7.011612808582867e-07
28,5.869236152496645e-07,3.6310606787992583e-07
29,5.487338739840198e-07,6.85709352410413e-07
30,1.194837795045108e-06,7.752633905511175e-07
31,3.7644040607650215e-07,5.240175866561003e-07
32,4.0418548508114327e-07,6.660986201723062e-07
33,3.3010630981304224e-07,6.29157136700087e-07
34,2.2721595035098593e-07,5.676865924897357e-07
35,3.499340088808367e-07,3.3401523893417104e-07
36,2.5214745775770097e-07,7.448910082530346e-07
37,4.793683402226634e-07,2.966299433637687e-07
38,4.869768635747581e-07,5.489446209594462e-07
39,1.0114609565903265e-06,1.2432391145011934e-06
40,4.1558171375299936e-07,1.1498255162223358e-06
41,2.2122400158271677e-06,1.5034449916129233e-06
42,8.73389353254576e-07,8.737218934129487e-07
43,2.744584863497342e-06,2.3306609818973812e-06
44,9.037862222764185e-07,3.4601737013417734e-07
45,4.604272682229293e-07,4.66776072016728e-07
46,4.523415052896477e-07,4.1009023732385685e-07
47,1.6716937002077732e-07,3.8205322141493523e-07
48,2.740884821624453e-07,1.4572682687230555e-07
49,1.8605914249292254e-07,1.8863768360688483e-07
50,6.598733233905326e-07,2.3802940177120037e-06
51,1.5030480265446991e-06,3.6145134572507233e-06
52,1.9882819060512704e-06,3.0137169233057646e-06
53,3.3414431451698572e-06,6.3688099544378925e-06
54,6.474878839905311e-06,1.737886905175401e-05
55,5.975990838180678e-06,1.264080833607295e-06
56,1.171713915368855e-05,5.3231441415846345e-05
57,0.0002790200753376363,0.0023588855750858785
58,0.00450583492735556,0.005566992657259106
