epoch,train_loss,val_loss
1,0.9807542959849039,0.8770364403724671
2,0.3332409195291499,0.012990022636950016
3,0.01917549342227479,0.007996367104351521
4,0.003372520960207718,0.0017238197498954833
5,0.0009014602520134456,0.0008004566305316984
6,0.0004132138019485865,0.001280863070860505
7,0.0004614243805311465,0.000451207478181459
8,0.00020494238209115185,0.0002963405793707352
9,0.00015635589431137002,0.00024028321713558397
10,0.00010613973524111012,0.0004217410139972344
11,0.00016722566330524085,0.00022070520790293813
12,7.829349115127116e-05,0.00014430403971346095
13,7.544713541089247e-05,9.661822805355769e-05
14,5.3771138300362506e-05,7.723548660578671e-05
15,3.649588879852672e-05,9.277080862375442e-05
16,0.00011101238227032203,0.00018423192377667875
17,5.1315206746949116e-05,8.885340575943701e-05
18,3.171581671873961e-05,4.234255484334426e-05
19,3.0313605528438832e-05,3.7594691002595936e-05
20,3.0577756524508005e-05,2.970756195281865e-05
21,2.6209220807989673e-05,3.3637688829912804e-05
22,1.3370820579439168e-05,2.5433852442802163e-05
23,1.1317484177197911e-05,2.051131496045855e-05
24,1.2192763999034165e-05,1.654388179304078e-05
25,8.83047971456108e-06,1.9382047503313517e-05
26,1.0121992977474292e-05,1.66059526236495e-05
27,7.548975349891407e-06,1.1711224397004117e-05
28,6.270178209888399e-06,9.40524341785931e-06
29,5.291467016377283e-06,1.2908117332699475e-05
30,6.367038584661107e-06,9.342959083369351e-06
31,7.358737608835023e-06,9.125884798777405e-06
32,1.2511916035388518e-05,8.897220482140256e-06
33,4.725982660147565e-06,8.948342042458535e-06
34,4.3115808542400675e-06,1.0976434396070545e-05
35,3.4998031935629114e-06,6.809880142100156e-06
36,3.6806613631294265e-06,7.058931828396453e-06
37,4.206271675381382e-06,4.630088324120152e-06
38,2.779590278123578e-06,5.740774304285878e-06
39,2.779680782320308e-06,5.608125047729118e-06
40,2.5308243721156034e-06,3.5660260436998215e-06
41,1.8377498122390535e-06,2.67180847686177e-06
42,1.75857474194648e-06,2.427210540645319e-06
43,2.6474194650442465e-06,7.990290851012104e-06
44,1.523716953973538e-06,2.755636489837343e-06
45,1.8906524170840081e-06,2.322188652215118e-06
46,2.341764631334324e-06,2.0655281446124717e-06
47,1.5629368884143938e-06,1.5209223647616454e-06
48,1.234212707856841e-06,1.9313383745611645e-06
49,3.458441024880206e-06,2.2533702804139468e-06
50,4.192643254441464e-06,4.078093434145558e-06
51,8.832222202196742e-07,1.1970741525146877e-06
52,9.054815767702469e-07,1.3078627489448991e-06
53,1.0553596951012879e-06,1.0406810730501093e-06
54,6.129643954485194e-07,1.470463212172035e-06
55,4.849187594876033e-07,1.4056253093031045e-06
56,3.177426937857793e-07,1.017256408886169e-06
57,4.533491235747533e-07,9.602384295703815e-07
58,3.6303730463297747e-07,9.231199499026843e-07
59,2.6977445154822515e-07,9.286127067298366e-07
60,3.0094113085965545e-07,8.123842775376033e-07
61,4.174537300135247e-07,6.443608199901974e-07
62,2.652185465024104e-07,9.48589857330262e-07
63,4.86354192238044e-07,6.901978565565514e-07
64,3.2028579539655765e-07,6.578995510153618e-07
65,2.3194139965691345e-07,6.361704407709112e-07
66,4.065448365508928e-07,1.9747464989450235e-06
67,6.242014071252318e-07,1.0858696668947232e-06
